title,url,difficulty,step,lecture,patterns
Minimum time taken to BURN the Binary Tree from a Node,,Hard,13,,Binary Tree
Count total Nodes in a COMPLETE Binary Tree,https://leetcode.com/problems/count-complete-tree-nodes/,Medium,13,,Binary Tree
Requirements needed to construct a Unique Binary Tree | Theory,,Medium,13,,Binary Tree
Construct Binary Tree from inorder and preorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Hard,13,,Binary Tree Traversal;Binary Tree
Construct the Binary Tree from Postorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Hard,13,,Binary Tree Traversal;Binary Tree
Serialize and deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,13,,Binary Tree
Morris Preorder Traversal of a Binary Tree,,Medium,13,,Binary Tree Traversal;Binary Tree
Morris Inorder Traversal of a Binary Tree,,Medium,13,,Binary Tree Traversal;Binary Tree
Flatten Binary Tree to LinkedList,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Hard,13,,Binary Tree
Introduction to Binary Search Tree,,Easy,14,,BST
Search in a Binary Search Tree,,Easy,14,,BST
Find Min/Max in BST,,Medium,14,,BST
Ceil in a Binary Search Tree,,Easy,14,,BST
Floor in a Binary Search Tree,,Easy,14,,BST
Insert a given Node in Binary Search Tree,,Easy,14,,BST
Delete a Node in Binary Search Tree,https://leetcode.com/problems/delete-node-in-a-bst/,Medium,14,,BST
Find K-th smallest/largest element in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,14,,BST
Check if a tree is a BST or BT,https://leetcode.com/problems/validate-binary-search-tree/,Medium,14,,BST
LCA in Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,14,,BST
Construct a BST from a preorder traversal,,Medium,14,,BST
Inorder Successor/Predecessor in BST,https://leetcode.com/problems/inorder-successor-in-bst/,Medium,14,,BST
Merge 2 BST's,,Hard,14,,BST
Two Sum In BST | Check if there exists a pair with Sum K,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,Medium,14,,BST
Recover BST | Correct BST with two nodes swapped,https://leetcode.com/problems/recover-binary-search-tree/,Hard,14,,BST
Largest BST in Binary Tree,,Hard,14,,BST
Graph and Types,,Easy,15,,Graph Theory
Graph Representation | C++,,Easy,15,,Graph Theory
Graph Representation | Java,,Easy,15,,Graph Theory
Connected Components | Logic Explanation,,Hard,15,,DFS
BFS,,Medium,15,,BFS
DFS,,Hard,15,,DFS
Number of provinces (leetcode),https://leetcode.com/problems/number-of-provinces/,Medium,15,,DFS
Connected Components Problem in Matrix,,Hard,15,,DFS
Rotten Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,15,,BFS
Flood fill,https://leetcode.com/problems/flood-fill/,Hard,15,,DFS
Cycle Detection in unirected Graph (bfs),,Hard,15,,BFS
Cycle Detection in undirected Graph (dfs),,Hard,15,,DFS
0/1 Matrix (Bfs Problem),https://leetcode.com/problems/01-matrix/,Medium,15,,BFS
Surrounded Regions (dfs),https://leetcode.com/problems/surrounded-regions/,Hard,15,,DFS
Number of Enclaves [flood fill implementation - multisource],https://leetcode.com/problems/number-of-enclaves/,Hard,15,,BFS
Word ladder - 1,https://leetcode.com/problems/word-ladder/,Hard,15,,BFS
Word ladder - 2,https://leetcode.com/problems/word-ladder-ii/,Hard,15,,BFS
Number of Distinct Islands [dfs multisource],https://leetcode.com/problems/number-of-distinct-islands/,Hard,15,,DFS
Bipartite Graph (DFS),https://leetcode.com/problems/is-graph-bipartite/,Medium,15,,DFS
Cycle Detection in Directed Graph (DFS),,Hard,15,,DFS
Topo Sort,,Hard,15,,Topological Sort
Kahn's Algorithm,,Hard,15,,Topological Sort
Cycle Detection in Directed Graph (BFS),,Hard,15,,BFS
Course Schedule - I,https://leetcode.com/problems/course-schedule/,Hard,15,,Topological Sort
Course Schedule - II,https://leetcode.com/problems/course-schedule-ii/,Hard,15,,Topological Sort
Find eventual safe states,https://leetcode.com/problems/find-eventual-safe-states/,Hard,15,,DFS
Alien dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,15,,Topological Sort
Shortest Path in UG with unit weights,,Hard,15,,Shortest Path
Shortest Path in DAG,,Hard,15,,Shortest Path
Djisktra's Algorithm,,Hard,15,,Shortest Path
Why priority Queue is used in Djisktra's Algorithm,,Medium,15,,Shortest Path
Shortest path in a binary maze,https://leetcode.com/problems/shortest-path-in-binary-matrix/,Medium,15,,Shortest Path
Path with minimum effort,https://leetcode.com/problems/path-with-minimum-effort/,Medium,15,,Shortest Path
